Sv,Sigma_v,Sigma_Hmax
1423,723,895
1427,725,896
1431,727,884
1435,729,889
1439,731,903
1443,733,923
1447,735,920
1451,737,854
1455,739,972
1459,741,976
1463,743,886
1467,745,814
1470,746,832
1474,748,874
1477,749,669
1481,751,651
1484,752,680
1487,737,569
1490,722,587
1494,707,578
1497,692,560
1500,677,544
1504,663,637
1507,644,603
1510,649,570
1514,655,691
1517,660,726
1521,665,659
1524,671,729
1528,676,724
1531,682,722
1535,687,745
1538,693,784
1542,698,696
1546,704,758
1550,707,905
1554,710,741
1558,712,779
1562,715,872
1566,718,871
1570,721,848
1574,723,873
1578,726,934
1582,729,868
1585,732,818
1589,734,573
1592,736,511
1596,738,561
1599,742,506
1602,744,575
1605,745,540
1608,747,491
1611,748,642
1615,745,494
1618,742,688
1622,743,677
1626,742,729
1629,742,762
1633,742,748
1636,742,887
1640,742,940
1644,742,706
1647,742,751
1650,741,755
1654,741,747
1658,741,695
1662,742,813
1665,742,835
1669,742,801
1672,741,850
1676,742,1005
1680,742,887
1684,742,800
1688,742,703
1691,742,671
1694,741,688
1698,741,707
1701,741,639
1704,740,607
1707,740,555
1711,739,584
1714,739,601
1717,738,509
1720,738,505
1723,737,519
1726,736,492
1729,728,437
1732,720,489
1735,706,422
1738,708,434
1741,711,542
1744,714,580
1747,716,702
1751,710,935
1754,704,786
1758,699,832
1762,693,842
1765,687,786
1769,681,717
1773,676,601
1776,670,437
1779,663,458
1783,657,511
1786,651,662
1790,646,585
1794,640,526
1797,634,440
1801,628,455
1804,622,458
1808,615,418
1811,608,561
1815,601,560
1818,594,525
1822,587,550
1825,580,637
1829,573,466
1832,566,451
1836,559,613
1840,552,479
1843,545,504
1846,531,495
1850,530,464
1853,529,341
1856,530,430
1859,531,351
1862,532,413
1866,534,480
1869,535,523
1873,537,551
1876,538,473
1880,540,534
1884,542,694
1887,543,543
1891,545,482
1894,546,736
1898,548,801
1902,550,832
1906,552,866
1910,554,905
1913,555,875
1917,557,873
1921,559,907
1925,561,800
1929,563,839
1933,565,789
1937,567,760
1941,569,778
1944,570,774
1948,572,834
1952,574,883
1956,576,772
1961,579,804
1965,581,875
1969,583,938
1973,585,958
1977,587,822
1981,589,890
1985,591,885
1989,593,884
1993,595,948
1998,598,955
2002,600,925
2006,602,918
2010,604,923
2014,606,891
2018,608,877
2022,610,968
